match_id,winner,map,region,date_time
1076555427,1,Ranked Frozen Guard,Brazil,3/27/2021 7:05:31 AM
1076555517,0,Ranked Stone Keep,NA,3/27/2021 7:06:19 AM
1076555524,1,Ranked Ice Mines,Southeast Asia,3/27/2021 7:06:20 AM
1076555535,0,Ranked Stone Keep,EU,3/27/2021 7:06:25 AM
1076555593,1,Ranked Frog Isle,Brazil,3/27/2021 7:06:55 AM
1076555612,0,Ranked Warder's Gate,NA,3/27/2021 7:07:01 AM
1076555661,1,Ranked Serpent Beach,Southeast Asia,3/27/2021 7:07:23 AM
1076555749,0,Ranked Warder's Gate,EU,3/27/2021 7:08:04 AM
1076555827,1,Ranked Jaguar Falls,EU,3/27/2021 7:08:41 AM
1076555851,1,Ranked Ice Mines,Southeast Asia,3/27/2021 7:08:58 AM
1076555874,1,Ranked Ascension Peak,NA,3/27/2021 7:09:11 AM
1076555898,0,Ranked Stone Keep,NA,3/27/2021 7:09:27 AM
1076555899,1,Ranked Ascension Peak,NA,3/27/2021 7:09:28 AM
1076555923,0,Ranked Stone Keep,EU,3/27/2021 7:09:39 AM
1076555942,1,Ranked Ice Mines,Brazil,3/27/2021 7:09:44 AM
1076556026,1,Ranked Jaguar Falls,EU,3/27/2021 7:10:25 AM
1076556046,0,Ranked Frozen Guard,NA,3/27/2021 7:10:35 AM
1076556073,1,Ranked Jaguar Falls,EU,3/27/2021 7:10:51 AM
1076556077,1,Ranked Ascension Peak,Southeast Asia,3/27/2021 7:10:53 AM
1076556078,0,Ranked Warder's Gate,Brazil,3/27/2021 7:10:53 AM
1076556159,0,Ranked Jaguar Falls,Brazil,3/27/2021 7:11:29 AM
1076556174,1,Ranked Warder's Gate,Southeast Asia,3/27/2021 7:11:37 AM
1076556175,1,Ranked Stone Keep,NA,3/27/2021 7:11:37 AM
1076556204,1,Ranked Stone Keep,NA,3/27/2021 7:11:49 AM
1076556208,0,Ranked Serpent Beach,NA,3/27/2021 7:11:50 AM
1076556228,0,Ranked Splitstone Quarry,Southeast Asia,3/27/2021 7:11:59 AM
1076556277,1,Ranked Stone Keep,Latin America North,3/27/2021 7:12:20 AM
1076556324,0,Ranked Frozen Guard,EU,3/27/2021 7:12:43 AM
1076556325,0,Ranked Frozen Guard,EU,3/27/2021 7:12:43 AM
1076556379,1,Ranked Timber Mill,Latin America North,3/27/2021 7:13:13 AM
1076556430,0,Ranked Ascension Peak,Southeast Asia,3/27/2021 7:13:39 AM
1076556459,0,Ranked Frozen Guard,Brazil,3/27/2021 7:13:53 AM
1076556485,1,Ranked Ice Mines,Latin America North,3/27/2021 7:14:07 AM
1076556490,1,Ranked Jaguar Falls,NA,3/27/2021 7:14:09 AM
1076556548,0,Ranked Warder's Gate,Southeast Asia,3/27/2021 7:14:43 AM
1076556551,1,Ranked Frog Isle,EU,3/27/2021 7:14:44 AM
1076556556,1,Ranked Splitstone Quarry,NA,3/27/2021 7:14:47 AM
1076556600,1,Ranked Jaguar Falls,NA,3/27/2021 7:15:11 AM
1076556704,1,Ranked Stone Keep,Latin America North,3/27/2021 7:15:59 AM
1076556742,0,Ranked Frog Isle,NA,3/27/2021 7:16:19 AM
1076556749,1,Ranked Timber Mill,EU,3/27/2021 7:16:23 AM
1076556755,0,Ranked Serpent Beach,EU,3/27/2021 7:16:27 AM
1076556810,1,Ranked Frozen Guard,Latin America North,3/27/2021 7:16:59 AM
1076556897,1,Ranked Splitstone Quarry,Southeast Asia,3/27/2021 7:17:39 AM
1076556943,1,Ranked Serpent Beach,Latin America North,3/27/2021 7:17:59 AM
1076557027,0,Ranked Splitstone Quarry,EU,3/27/2021 7:18:43 AM
1076557053,0,Ranked Warder's Gate,NA,3/27/2021 7:18:58 AM
1076557066,0,Ranked Warder's Gate,NA,3/27/2021 7:19:03 AM
1076557072,1,Ranked Jaguar Falls,Brazil,3/27/2021 7:19:05 AM
1076557094,1,Ranked Warder's Gate,NA,3/27/2021 7:19:17 AM
1076557121,1,Ranked Serpent Beach,EU,3/27/2021 7:19:32 AM
1076557198,0,Ranked Frozen Guard,Southeast Asia,3/27/2021 7:20:19 AM
1076557204,0,Ranked Jaguar Falls,Brazil,3/27/2021 7:20:23 AM
1076557290,0,Ranked Ascension Peak,NA,3/27/2021 7:21:03 AM
1076557304,0,Ranked Serpent Beach,Southeast Asia,3/27/2021 7:21:12 AM
1076557388,0,Ranked Warder's Gate,EU,3/27/2021 7:21:56 AM
